year,race,education,age,population,mortality
2000,Black,Less than H.S.,52,69620,0.01359101679250399
2000,Black,Less than H.S.,53,62596,0.01628177558755873
2000,Black,Less than H.S.,54,40021,0.015940537008648767
2000,Black,Less than H.S.,55,58912,0.017340119629367882
2000,Black,Less than H.S.,56,55120,0.019480487888406107
2000,Black,Less than H.S.,57,46059,0.01765136875036142
2000,Black,Less than H.S.,58,56231,0.02026156835150075
2000,Black,Less than H.S.,59,55636,0.022429146852714528
2000,Black,Less than H.S.,60,54257,0.02204383479447165
2000,Black,Less than H.S.,61,53462,0.022164374327020838
2000,Black,Less than H.S.,62,64272,0.022452911620216856
2000,Black,Less than H.S.,63,72256,0.02313165599480208
2000,Black,Less than H.S.,64,65304,0.023240793960355593
2000,Black,Less than H.S.,65,77690,0.025283799243421244
2000,Black,Less than H.S.,66,59317,0.027969422986626243
2000,Black,Less than H.S.,67,64986,0.0279555879685412
2000,Black,Less than H.S.,68,59695,0.029582043989502555
2000,Black,Less than H.S.,69,66972,0.03328070724998098
2000,Black,Less than H.S.,70,64910,0.03518374021240689
2000,Black,Less than H.S.,71,68994,0.03841422426963429
2000,Black,Less than H.S.,72,68313,0.041383595930648776
2000,Black,Less than H.S.,73,66310,0.044551830835955694
2000,Black,Less than H.S.,74,54100,0.04365856868832286
2000,Black,Less than H.S.,75,63791,0.053543172630920684
2000,Black,Less than H.S.,76,40176,0.04883335640374861
2000,Black,Less than H.S.,77,61972,0.06403389222877671
2000,Black,Less than H.S.,78,57440,0.053473905745323846
2000,Black,Less than H.S.,79,40819,0.06364594607796929
2000,Black,Less than H.S.,80,36978,0.0691676124912463
2000,Black,Less than H.S.,81,44971,0.0795830950661547
2000,Black,Less than H.S.,82,36066,0.0871356225658108
2000,Black,Less than H.S.,83,32614,0.09116686190920827
2000,Black,Less than H.S.,84,23943,0.10120418834901385
2000,Black,H.S.,30,197217,0.0027342694631030382
2000,Black,H.S.,31,162373,0.003434643416101533
2000,Black,H.S.,32,161081,0.003169437887267645
2000,Black,H.S.,33,170295,0.003320702938876925
2000,Black,H.S.,34,141081,0.003689561305750871
2000,Black,H.S.,35,211817,0.0034985614666170704
2000,Black,H.S.,36,167586,0.003849092486662258
2000,Black,H.S.,37,209561,0.004358411259492418
2000,Black,H.S.,38,189850,0.004554035588262312
2000,Black,H.S.,39,183248,0.0046569580743842905
2000,Black,H.S.,40,206422,0.005008562795521497
2000,Black,H.S.,41,167889,0.0063612247688907865
2000,Black,H.S.,42,161997,0.006622675350967545
2000,Black,H.S.,43,164980,0.006664068235866609
2000,Black,H.S.,44,173821,0.006756836339971519
2000,Black,H.S.,45,200841,0.008269799937526318
2000,Black,H.S.,46,140708,0.008748355432087997
2000,Black,H.S.,47,129866,0.01015004167084145
2000,Black,H.S.,48,151796,0.010100124160576854
2000,Black,H.S.,49,131448,0.011632080625825858
2000,Black,H.S.,50,147528,0.01132657495003747
2000,Black,H.S.,51,107122,0.013476642069422033
2000,Black,H.S.,52,100566,0.013131287457506633
2000,Black,H.S.,53,116063,0.014094706921876116
2000,Black,H.S.,54,102873,0.015538265610738324
